
2024/10/21 (15:09:24) | ===> btop++ v.1.4.0
2024/10/21 (15:09:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/21 (15:09:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (15:16:50) | ===> btop++ v.1.4.0
2024/10/21 (15:16:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/21 (15:16:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (15:15:12) | ===> btop++ v.1.4.0
2024/11/04 (15:15:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/04 (15:15:13) | WARNING: Intel GPU: Failed to initialize PMU
